Fiscal Year Released,Recidivism Reporting Year,Race - Ethnicity,Sex,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Release Type,Main Supervising District,Recidivism - Return to Prison,Recidivism Type,Days to Recidivism,New Conviction Offense Classification,New Conviction Offense Type,New Conviction Offense Sub Type,Part of Target Population,Sort Number,Initial Supervision Status,Recidivism Supervision Status
2010,2013,White - Non-Hispanic,,25-34,D Felony,Property,Theft,Parole,5JD,Yes,Parole,120,Aggravated Misdemeanor,Public Order,Traffic,Yes,,,
2010,2013,White - Non-Hispanic,,45-54,C Felony,Property,Theft,Parole,5JD,Yes,Parole,121,,,,Yes,,,
2010,2013,White - Non-Hispanic,,55 and Older,D Felony,Public Order,OWI,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,122,D Felony,Public Order,OWI,No,,,
2010,2013,White - Hispanic,,25-34,B Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,124,,,,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,C Felony,Property,Theft,Parole,5JD,Yes,Parole,127,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Property,Forgery/Fraud,Parole,2JD,Yes,Parole,127,D Felony,Property,Theft,Yes,,,
2010,2013,White - Non-Hispanic,,55 and Older,Felony - Enhanced,Drug,Trafficking,Parole,8JD,Yes,Parole,129,Serious Misdemeanor,Drug,Drug Possession,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,129,Aggravated Misdemeanor,Violent,Assault,No,,,
2010,2013,White - Non-Hispanic,,35-44,Aggravated Misdemeanor,Violent,Sex,Special Sentence,5JD,Yes,Special Sentence,131,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Property,Burglary,Parole,8JD,Yes,Parole,132,,,,Yes,,,
2010,2013,White - Non-Hispanic,,45-54,D Felony,Property,Burglary,Parole,5JD,Yes,Parole,132,Aggravated Misdemeanor,Property,Theft,Yes,,,
2010,2013,Black - Non-Hispanic,,25-34,D Felony,Drug,Drug Possession,Parole,3JD,Yes,Parole,133,D Felony,Drug,Trafficking,Yes,,,
2010,2013,Black - Non-Hispanic,,45-54,Felony - Enhanced,Drug,Trafficking,Parole,6JD,Yes,Parole,133,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Property,Burglary,Parole,5JD,Yes,Parole,134,,,,Yes,,,
2010,2013,White - Non-Hispanic,,55 and Older,D Felony,Public Order,OWI,Parole,4JD,Yes,Parole,134,,,,Yes,,,
2010,2013,White - Non-Hispanic,,45-54,Felony - Enhanced,Property,Theft,Parole,5JD,Yes,Parole,134,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,C Felony,Violent,Sex,Special Sentence,8JD,Yes,Special Sentence,135,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Property,Burglary,Parole,1JD,Yes,Parole,137,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Property,Theft,Parole,5JD,Yes,Parole,138,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Other,Special Sentence Revocation,Special Sentence,4JD,Yes,Special Sentence,139,,,,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,D Felony,Drug,Trafficking,Parole,2JD,Yes,Parole,139,Serious Misdemeanor,Drug,Drug Possession,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,140,C Felony,Property,Burglary,No,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Drug,Drug Possession,Parole,5JD,Yes,Parole,140,,,,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,142,,,,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,D Felony,Public Order,Sex Offender Registry/Residency,Parole,7JD,Yes,Parole,142,D Felony,Public Order,Other Public Order,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Property,Theft,Parole,7JD,Yes,Parole,143,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,144,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Violent,Assault,Parole,3JD,Yes,Parole,144,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Drug,Trafficking,Parole,3JD,Yes,Parole,144,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,Serious Misdemeanor,Drug,Drug Possession,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,145,Aggravated Misdemeanor,Public Order,Alcohol,No,,,
2010,2013,Black - Non-Hispanic,,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,145,Aggravated Misdemeanor,Violent,Assault,No,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,2JD,Yes,Parole,145,,,,Yes,,,
2010,2013,American Indian or Alaska Native - Non-Hispanic,,45-54,Aggravated Misdemeanor,Public Order,Alcohol,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,146,Aggravated Misdemeanor,Public Order,Alcohol,No,,,
2010,2013,Asian or Pacific Islander - Non-Hispanic,,25-34,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,146,,,,No,,,
2010,2013,White - Non-Hispanic,,25-34,Felony - Enhanced,Property,Theft,Parole,8JD,Yes,Parole,147,,,,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,D Felony,Property,Burglary,Parole,5JD,Yes,Parole,147,Aggravated Misdemeanor,Property,Burglary,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Property,Burglary,Parole,4JD,Yes,Parole,147,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,148,,,,No,,,
2010,2013,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Public Order,Traffic,Parole,6JD,Yes,Parole,148,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Sex,Special Sentence,6JD,Yes,Special Sentence,149,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,35-44,D Felony,Drug,Drug Possession,Parole,6JD,Yes,Parole,149,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,149,D Felony,Violent,Assault,No,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Violent,Sex,Special Sentence,3JD,Yes,Special Sentence,150,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,7JD,Yes,Parole,151,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,152,C Felony,Property,Burglary,No,,,
2010,2013,Black - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,155,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Property,Forgery/Fraud,Parole,5JD,Yes,Parole,156,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Property,Theft,Parole,3JD,Yes,Parole,157,D Felony,Public Order,Traffic,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Drug,Other Drug,Parole,6JD,Yes,Parole,159,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,3JD,Yes,Parole,159,,,,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,D Felony,Violent,Assault,Parole,6JD,Yes,Parole,160,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,25-34,C Felony,Property,Burglary,Parole,7JD,Yes,Parole,160,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,B Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,160,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,35-44,Felony - Enhanced,Drug,Trafficking,Parole,5JD,Yes,Parole,162,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,Under 25,D Felony,Violent,Other Violent,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,162,,,,No,,,
2010,2013,White - Non-Hispanic,,55 and Older,D Felony,Public Order,OWI,Parole,5JD,Yes,Parole,163,,,,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,D Felony,Public Order,Weapons,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,164,D Felony,Property,Forgery/Fraud,No,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,3JD,Yes,Parole,165,D Felony,Drug,Other Drug,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Drug,Drug Possession,Parole,1JD,Yes,Parole,165,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Property,Vandalism,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,166,Serious Misdemeanor,Drug,Drug Possession,No,,,
2010,2013,White - Non-Hispanic,,Under 25,C Felony,Property,Burglary,Parole,6JD,Yes,Parole,166,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,166,Aggravated Misdemeanor,Property,Theft,No,,,
2010,2013,Black - Non-Hispanic,,35-44,Aggravated Misdemeanor,Public Order,Traffic,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,167,Aggravated Misdemeanor,Public Order,Prostitution/Pimping,No,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Violent,Assault,Parole,1JD,Yes,Parole,167,Aggravated Misdemeanor,Violent,Assault,Yes,,,
2010,2013,White - Hispanic,,35-44,D Felony,Public Order,OWI,Parole,6JD,Yes,Parole,168,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Drug,Drug Possession,Parole,5JD,Yes,Parole,169,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Drug,Trafficking,Parole,3JD,Yes,Parole,169,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Public Order,Traffic,Parole,3JD,Yes,Parole,170,Aggravated Misdemeanor,Public Order,Other Public Order,Yes,,,
2010,2013,White - Hispanic,,Under 25,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,170,D Felony,Public Order,Weapons,No,,,
2010,2013,Black - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,7JD,Yes,Parole,170,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,25-34,D Felony,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,171,Aggravated Misdemeanor,Public Order,Other Public Order,No,,,
2010,2013,White - Non-Hispanic,,35-44,D Felony,Property,Forgery/Fraud,Parole,5JD,Yes,Parole,172,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Property,Forgery/Fraud,Parole,8JD,Yes,Parole,172,Aggravated Misdemeanor,Public Order,Traffic,Yes,,,
2010,2013,Black - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,1JD,Yes,Parole,173,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes,,,
2010,2013,Black - Non-Hispanic,,35-44,D Felony,Property,Forgery/Fraud,Parole,7JD,Yes,Parole,173,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,25-34,D Felony,Public Order,OWI,Parole,3JD,Yes,Parole,174,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,174,C Felony,Property,Burglary,No,,,
2010,2013,Black - Non-Hispanic,,35-44,C Felony,Property,Burglary,Parole,5JD,Yes,Parole,174,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,175,Aggravated Misdemeanor,Drug,Drug Possession,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Property,Burglary,Parole,5JD,Yes,Parole,175,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Public Order,OWI,Parole,2JD,Yes,Parole,175,,,,Yes,,,
2010,2013,White - Hispanic,,25-34,D Felony,Property,Burglary,Parole,1JD,Yes,Parole,176,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Violent,Sex,Special Sentence,4JD,Yes,Special Sentence,177,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,177,D Felony,Public Order,Other Public Order,No,,,
2010,2013,White - Non-Hispanic,,45-54,Felony - Enhanced,Drug,Trafficking,Parole,5JD,Yes,Parole,178,Aggravated Misdemeanor,Drug,Drug Possession,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,D Felony,Drug,Drug Possession,Parole,8JD,Yes,Parole,178,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Property,Burglary,Parole,2JD,Yes,Parole,179,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Drug,Other Drug,Parole,3JD,Yes,Parole,182,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,45-54,Felony - Enhanced,Drug,Other Drug,Parole,2JD,Yes,Parole,183,,,,Yes,,,
2010,2013,White - Non-Hispanic,,55 and Older,D Felony,Public Order,OWI,Parole,5JD,Yes,Parole,183,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Public Order,Other Public Order,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,183,Aggravated Misdemeanor,Violent,Assault,No,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Violent,Assault,Parole,1JD,Yes,Parole,184,D Felony,Violent,Assault,Yes,,,
2010,2013,American Indian or Alaska Native - Non-Hispanic,,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,185,Aggravated Misdemeanor,Public Order,Weapons,No,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,187,Serious Misdemeanor,Drug,Drug Possession,No,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Drug,Trafficking,Parole,8JD,Yes,Parole,187,C Felony,Drug,Trafficking,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,D Felony,Drug,Trafficking,Parole,2JD,Yes,Parole,188,,,,Yes,,,
2010,2013,White - Hispanic,,25-34,Serious Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,188,,,,No,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Violent,Other Violent,Parole,3JD,Yes,Parole,189,,,,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,D Felony,Public Order,Traffic,Parole,2JD,Yes,Parole,190,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,190,,,,Yes,,,
